Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,10-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.20,2.05
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.16
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.52,18.32
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.01,18.54
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.98,34.99
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.64,19.70
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.64,6.14
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,0.61
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.43
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.81,20.38
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.41,15.50
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.67,19.98
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.20,13.45
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.80,9.69
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.77,9.24
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.99,10.55
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.37,13.97
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.55,6.38
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.69,26.98
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.57,6.52
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.51,5.91
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.22,14.35
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,1.81,21.20
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,1.80,21.94
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.58,18.53
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.66,18.88
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.57,18.62
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.14,37.83
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.05,11.66
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.46,15.60
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.52,8.25
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.55,16.93
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,1.94,21.24
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.55,17.02
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.11,21.53
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.50,5.87
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.29,3.26
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.30,3.36
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.80,19.89
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.49,5.70
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.54,16.91
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.36,15.49
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.03,20.36
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.32,3.46
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.23,14.96
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.02,20.39
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.02,20.36
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.02,20.52
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.05,20.65
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.41,14.12
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.47,17.34
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.69,26.96
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.62,6.64
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.12,12.52
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.20,13.20
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.91,20.59
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.04,12.35
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.91,20.21
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.48,5.77
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.62,18.98
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.42,4.97
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.53,47.13
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,1.10,24.76
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.61,26.65
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.20,4.91
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.13,22.32
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.17,3.99
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.29,23.31
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.18,3.66
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.06,30.81
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.42,6.33
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,0.96,11.23
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.46,5.45
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.24,2.80
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.55,7.51
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,1.98,19.61
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.56,6.41
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.08,21.83
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.09,21.33
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.25,2.94
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,0.99,11.46
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.05,20.60
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.04,20.69
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,2.23,20.96
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,2.36,23.33
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,4.90,20.35
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.10,0.94
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,1.24,9.46
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.19,11.61
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,8.23,79.49
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.70,16.48
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.80,16.41
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.58,13.82
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.52,24.38
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.43,14.36
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,1.36
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.74,7.33
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.22,4.44
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,1.20,6.97
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.35,3.35
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.83,16.61
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,1.70,18.63
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.70,7.05
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.28,2.82
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.11
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.73,7.25
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.09,15.74
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,0.97,12.94
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,0.58,15.80
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.70,10.37
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.32,18.70
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.36,4.88
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,0.26,16.73
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,0.19,1.75
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,0.67,13.55
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,0.89,15.17
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,0.60,18.64
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.59,9.17
