Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,22-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.20,4.23
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.40
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.69,37.19
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.20,43.07
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.67,77.31
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.20,44.64
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.68,13.87
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.05,1.38
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.93
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.26,46.05
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.69,34.85
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.23,45.47
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.47,29.86
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.13,21.93
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,1.11,21.00
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.17,23.70
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.56,30.61
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.83,15.12
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.84,58.75
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.77,14.98
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.73,13.79
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.70,41.63
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.51,48.76
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.43,49.82
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.18,42.34
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.31,43.60
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.17,42.92
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,4.49,86.13
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.24,25.63
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.93,36.08
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.95,18.66
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,2.14,38.95
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.25,46.10
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.83,37.67
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.26,47.11
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.72,13.73
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.36,7.28
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.37,7.51
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.13,43.89
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.70,13.30
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.85,37.67
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.72,34.89
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.19,44.61
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,1.78,11.76
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.78,32.83
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.18,44.61
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.19,44.58
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.20,44.81
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.16,44.86
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.50,30.93
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.08,39.75
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.87,59.02
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.71,14.60
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.39,28.17
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.42,27.92
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,2.23,45.42
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.51,28.07
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,2.19,44.34
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.71,13.35
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.25,43.35
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.66,11.88
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,5.29,104.14
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,3.76,56.56
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.83,58.36
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.77,11.76
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.46,49.17
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.67,9.39
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.52,51.44
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.57,8.67
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.21,67.08
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.73,13.11
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.41,26.13
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.73,12.92
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.37,6.57
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.74,15.78
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,2.77,49.03
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.73,14.51
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.26,47.99
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.24,47.15
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.36,6.78
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.47,26.84
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.23,45.74
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.17,45.63
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,2.93,49.07
AMP ENERGY GREEN FOUR PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,1.88
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,2.84,51.43
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,4.34,39.57
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.11,2.08
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,0.88,24.80
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.34,25.84
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,8.74,173.26
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.51,36.60
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.59,36.05
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.56,31.13
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.54,51.94
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,2.38,33.65
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,3.25
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.76,18.87
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.49,10.76
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,1.66,15.33
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.35,8.52
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.45,35.62
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.20,44.57
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.72,17.84
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.32,6.56
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.35
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.75,18.58
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.20,38.42
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,0.63,30.25
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,0.62,31.24
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.67,21.55
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.09,46.38
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.27,12.20
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,1.09,37.57
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,0.16,2.48
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,0.50,30.73
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,0.56,36.74
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,42.86
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.65,17.77
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.03,2.59
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.06,4.59
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,0.58,29.61
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.07,5.01
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,0.00,26.74
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,0.18,22.64
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,0.56,37.18
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.18,11.10
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,0.32,9.34
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,1.34,27.45
