Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,15-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.11,1.32
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.00,0.13
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.48,20.86
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.84,26.98
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.26,45.54
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.32,25.87
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.19,6.17
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.02,0.66
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.00,0.45
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.91,26.95
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.35,17.70
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.82,26.53
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.22,17.81
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.82,11.59
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.76,10.85
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.97,13.83
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.16,16.86
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.52,7.31
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.41,36.66
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.56,8.12
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.44,6.61
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.15,17.29
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,1.70,25.18
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.02,29.32
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.48,21.99
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.62,23.56
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.64,22.09
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.16,37.31
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.99,14.75
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.35,19.51
