Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,12-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.13,1.01
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.10
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.16,17.02
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.35,22.11
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.10,36.85
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.22,21.63
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.11,4.95
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.04,0.59
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.10,0.35
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.53,22.02
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,0.85,14.22
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.45,21.90
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,0.96,14.69
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.34,9.57
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.31,8.95
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.64,11.31
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,0.84,13.87
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.25,6.23
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.38,29.46
