Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,02-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.06,0.19
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.02
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.26,2.75
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.63,3.60
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.80,6.15
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.64,3.57
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.30,0.42
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,0.12
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.01,0.03
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.64,3.42
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.10,2.48
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.60,3.55
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.06,2.39
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.79,1.50
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.75,1.40
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.87,1.90
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.04,2.26
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.51,1.00
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.22,4.70
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.49,1.09
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.45,0.89
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.17,2.32
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,1.71,3.40
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,1.83,4.03
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.50,2.98
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.42,2.84
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.46,2.98
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,2.63,5.28
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.89,1.94
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.13,2.55
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.63,1.43
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.46,3.11
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,1.72,3.75
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.36,2.98
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.74,3.78
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.42,0.85
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.25,0.56
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.26,0.58
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.63,3.60
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.42,0.85
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.32,2.97
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.27,2.72
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.66,3.58
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.26,0.58
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.42,2.70
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.66,3.54
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.64,3.53
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.61,3.50
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.67,3.53
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.07,2.26
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.40,2.64
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.04,4.29
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.54,1.14
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.05,2.25
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.10,2.37
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.62,3.58
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.02,2.02
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.50,3.35
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.49,0.98
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.53,3.03
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.39,0.78
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,3.60,7.82
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,0.85,3.25
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.15,4.71
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.21,0.71
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.67,3.65
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.20,0.62
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.76,3.80
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.14,0.51
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,2.53,5.37
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.17,0.59
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,0.91,1.74
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.43,0.86
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.23,0.45
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.43,0.96
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,1.34,2.99
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.53,1.04
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.66,3.65
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.62,3.58
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.16,0.39
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,0.80,1.40
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.53,3.14
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.35,2.98
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,1.08,2.37
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,1.76,3.56
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,0.45,0.91
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.00,0.00
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,0.54,1.10
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,0.81,1.64
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,6.60,13.41
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.60,3.17
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.58,3.11
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.23,1.91
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.13,2.96
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.38,2.78
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.13,0.25
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.71,1.43
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.45,0.91
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.35,0.71
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.28,0.52
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.49,2.94
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.03,3.77
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.66,1.34
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.33,0.65
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.00
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.70,1.41
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,0.90,1.97
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,0.72,2.19
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,0.95,2.08
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.82,2.10
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.28,3.65
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.23,0.68
