Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,18-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.13,1.70
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.17
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.54,25.63
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.97,33.04
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.31,55.43
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.90,31.54
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.47,7.27
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,0.78
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.01,0.51
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.98,32.77
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.49,22.05
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.92,32.07
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.33,21.58
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.79,14.00
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.75,13.12
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.98,16.79
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.22,20.67
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.51,8.90
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.42,44.28
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.59,9.80
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.48,8.10
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.22,20.98
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,1.79,30.72
