Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,24-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.22,4.69
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.44
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.50,40.33
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.12,47.40
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.80,85.22
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.17,49.08
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.71,15.26
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,1.52
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.05,1.03
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.24,50.61
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.64,38.23
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.23,50.00
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.48,32.87
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.13,24.21
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,1.11,23.24
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.15,26.05
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.34,33.53
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.85,16.85
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.45,64.04
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.77,16.57
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.75,15.32
