Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,09-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.24,1.89
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.14
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.56,16.79
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.12,16.53
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.56,32.76
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.03,18.48
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.67,5.54
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,0.55
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.05,0.40
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.03,18.88
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.59,14.27
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.03,18.74
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.38,12.45
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.10,9.12
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,1.05,8.68
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.10,9.68
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.45,12.61
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.72,5.98
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.77,24.31
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,6.07
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,5.55
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.64,13.47
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.43,19.90
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.24,20.64
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.13,17.37
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.00,17.54
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.22,17.56
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,4.27,35.56
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.21,10.72
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.56,14.28
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.85,8.10
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.95,15.70
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.21,19.50
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.76,15.64
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.17,19.46
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,5.53
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.34,3.02
