Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,14-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.23,2.90
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.24
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.51,24.82
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.92,26.84
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.64,50.20
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.04,28.16
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.65,8.77
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.08,0.91
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.05,0.61
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.11,29.07
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.26,21.44
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.06,28.55
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.35,19.01
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.07,13.99
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,1.00,13.28
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.09,14.98
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.39,19.58
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.74,9.31
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.67,37.69
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.69,9.33
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.68,8.63
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.61,20.79
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.37,30.69
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.29,31.43
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.08,26.83
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.17,27.42
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.08,26.97
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,4.45,54.90
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.13,16.30
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.62,22.25
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.87,11.67
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.93,24.63
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.10,29.93
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.71,23.96
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.09,30.19
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,8.58
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.33,4.61
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.33,4.77
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.98,28.07
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.65,8.31
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.70,23.95
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.57,22.01
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.01,28.62
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.34,4.88
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.67,21.64
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.01,28.62
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.02,28.63
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.03,28.79
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.93,28.85
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.40,19.82
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.92,25.05
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.70,37.89
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,9.32
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.26,17.82
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.27,18.50
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,2.02,28.82
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.31,17.71
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.96,28.41
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.64,8.36
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.11,27.43
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.57,7.22
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.45,66.23
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,1.82,30.49
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.49,37.39
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.28,5.87
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.13,31.40
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.20,4.76
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.25,32.74
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.21,4.29
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.00,43.07
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.53,7.61
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.23,16.24
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.62,7.91
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.32,4.06
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.67,10.25
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,2.45,29.69
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.71,9.26
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.18,30.78
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.10,30.17
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.33,4.25
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.27,16.65
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.14,28.90
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.08,28.92
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,2.52,31.50
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,2.27,32.01
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,0.93,23.72
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.10,1.31
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,1.38,14.47
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.27,16.34
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,8.46,111.22
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.82,23.60
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.79,23.42
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.53,19.39
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.50,32.59
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.49,20.19
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,1.91
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.75,10.27
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.52,6.41
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.49,8.89
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.34,4.76
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.74,23.39
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.18,27.23
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.73,9.90
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.35,4.05
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.11
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.75,10.16
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.37,22.59
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,1.53,18.20
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,1.13,20.44
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.87,13.94
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.97,26.00
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.46,6.60
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,0.23,22.28
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,-0.29,0.67
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,0.76,17.95
