Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,04-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.18,0.76
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.05
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,2.81,7.42
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.15,5.85
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.73,13.71
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.16,7.81
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.44,2.22
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,0.21
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.16
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.21,8.02
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.66,6.10
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.21,7.92
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.47,5.29
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.03,3.83
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.97,3.62
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.14,4.08
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.40,5.32
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.70,2.49
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.72,10.50
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.70,2.51
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,2.33
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.58,5.72
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.32,8.46
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.42,8.71
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.02,7.35
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.07,7.73
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.99,7.44
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.96,15.03
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.24,4.58
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.67,5.99
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.93,3.38
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.92,6.44
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.25,8.43
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.79,6.67
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.20,8.39
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.67,2.32
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.35,1.27
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.36,1.31
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.11,7.81
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.65,2.25
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.82,6.61
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.68,6.07
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.11,8.00
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.37,1.35
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.61,5.96
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.10,7.93
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.09,7.94
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.10,8.00
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.10,8.02
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.43,5.48
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.88,6.84
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.71,10.51
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.68,2.62
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.36,4.95
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.41,5.12
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,2.22,8.03
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.33,4.91
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,2.10,7.86
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.61,2.32
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.06,7.54
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.56,1.97
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.85,18.08
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,0.44,16.04
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.76,10.31
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.18,3.37
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.31,8.44
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.14,2.76
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.40,8.91
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.08,2.50
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.12,12.05
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.55,3.78
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.25,4.40
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.60,2.14
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.31,1.11
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.68,2.44
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,1.95,6.95
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.72,2.60
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.26,8.42
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.24,8.16
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.32,1.15
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.28,4.48
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.69,7.52
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.68,7.49
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,2.40,8.52
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,2.38,8.82
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,0.50,7.74
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.10,0.36
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,0.78,2.88
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.18,4.42
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,8.11,29.97
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.52,6.17
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.47,5.98
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.00,4.59
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.11,9.32
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.46,5.54
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.12,0.52
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.74,2.85
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.51,1.91
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.50,1.87
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.32,1.35
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.42,5.74
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,1.84,7.62
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.72,2.73
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.25,1.07
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.00
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.73,2.82
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,2.59,7.00
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,1.57,5.96
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,3.03,5.76
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,1.34,4.95
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,2.23,8.27
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.66,2.18
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,1.42,3.74
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,-0.35,0.10
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,2.10,5.68
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,2.25,6.15
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,8.72
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,1.16,4.39
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.04,0.32
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.11,0.72
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,0.78,4.83
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.47,0.90
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,3.15,7.58
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,1.94,4.77
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,1.59,7.32
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.51,1.87
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,1.31,2.40
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,0.90,4.44
TPSOURY BRVD NMCH,Madhya Pradesh,Private,IPP,Solar,160.00,0.87,4.25
ARE41L PSS3 KPSI,Gujarat,Private,IPP,Wind,249.60,1.56,6.50
ACL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,200.00,1.45,5.38
BEETAM(TUTICORIN),Tamil Nadu,Private,IPP,Wind,220.00,0.77,2.80
GREEN INFRA,Tamil Nadu,Private,IPP,Wind,250.00,0.86,3.47
HIRITUR OSTRO,Tamil Nadu,Private,IPP,Wind,300.00,0.89,4.43
JSW RENEW ENERGY TWO LTD,Tamil Nadu,Private,IPP,Wind,130.00,1.13,4.36
KARUR_JSWRETWO_W,Tamil Nadu,Private,IPP,Wind,51.00,0.37,2.39
KOPPAL_AYANASIX_W,Karnataka,Private,IPP,Wind,50.00,0.22,0.83
KOPPAL_RENEWROSHNI_W,Karnataka,Private,IPP,Wind,73.00,2.40,5.23
MYTRA,Tamil Nadu,Private,IPP,Wind,250.00,0.58,2.00
ORANGE,Tamil Nadu,Private,IPP,Wind,200.00,0.58,1.68
PGLR_SREPL,Tamil Nadu,Private,IPP,Wind,300.00,0.32,1.73
TUTICORINJSWRENEWW,Tamil Nadu,Private,IPP,Wind,51.00,0.72,2.43
GRT,Tamil Nadu,Private,IPP,Solar,150.00,1.07,3.74
NTPC ETTAYAPURAM SOLAR PLANT,Tamil Nadu,Central,NTPC,Solar,230.00,1.79,6.11
RAMANGUNDAM SOLAR,Telangana,Central,NTPC,Solar,100.00,0.59,2.39
SIMHADRI SOLAR,Andhra Pradesh,Central,NTPC,Solar,25.00,0.17,0.68
KOPPAL RENEWOJAS Wind,Tamil Nadu,Private,IPP,Wind,277.00,2.45,6.93
KOPPAL SRI1PL,Karnataka,Private,IPP,Solar,120.00,1.34,5.15
IRCON SOLAR,Karnataka,Private,IPP,Solar,50.00,-1.11,-0.09
GADAG_VENA_W,Karnataka,Private,IPP,Wind,133.00,0.96,3.11
GADAG_VENA_S,Karnataka,Private,IPP,Solar,31.00,-0.13,-0.13
KURNOOL_AMGREEN_W,Andhra Pradesh,Private,IPP,Wind,53.00,0.87,5.70
KOPPAL_RENEWOJAS_S,Karnataka,Private,IPP,Solar,81.00,0.56,2.17
GADAG_RSPPL_W,Tamil Nadu,Private,IPP,Wind,66.00,0.92,1.97
GADAG_GREENINFRA_W,Tamil Nadu,Private,IPP,Wind,55.00,0.43,1.40
ADANIAPSEVEN,Andhra Pradesh,Private,IPP,Solar,250.00,1.91,6.68
ACME (BIWADI),Andhra Pradesh,Private,IPP,Solar,50.00,0.13,0.89
ACME (HISAR),Andhra Pradesh,Private,IPP,Solar,50.00,0.39,1.46
ACME (KARNAL),Andhra Pradesh,Private,IPP,Solar,50.00,0.37,1.38
AYANA,Andhra Pradesh,Private,IPP,Solar,250.00,1.94,7.88
AZURE,Andhra Pradesh,Private,IPP,Solar,50.00,0.30,1.22
IGS 1,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,1.37
IGS 2,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,1.52
NTPC,Andhra Pradesh,Central,NTPC,Solar,250.00,1.30,5.29
TATA POWER,Andhra Pradesh,Private,IPP,Solar,100.00,0.64,2.40
SPRING ANGITRA,Andhra Pradesh,Private,IPP,Solar,250.00,1.78,7.20
All ADYAH,Karnataka,Private,IPP,Solar,300.00,2.43,9.81
AMPLUS PAVAGADA,Karnataka,Private,IPP,Solar,50.00,0.39,1.60
AMPLUS TUMKUR,Karnataka,Private,IPP,Solar,50.00,0.39,1.59
AVAADA SOLAR,Karnataka,Private,IPP,Solar,150.00,1.12,4.54
AVAADA SOLARISE,Karnataka,Private,IPP,Solar,150.00,1.12,4.56
AZURE POWER EARTH,Karnataka,Private,IPP,Solar,100.00,0.78,2.73
FORTUM FIN SURYA,Karnataka,Private,IPP,Solar,100.00,0.70,2.84
FORTUM SOLAR,Karnataka,Private,IPP,Solar,250.00,0.36,1.47
KREDL,Karnataka,Private,IPP,Solar,50.00,0.81,3.28
PARAMPUJYA,Karnataka,Private,IPP,Solar,150.00,0.36,1.27
RENEW TN2,Karnataka,Private,IPP,Solar,50.00,1.49,6.00
SBG ENERGY,Karnataka,Private,IPP,Solar,200.00,1.88,7.59
TATA RENEWABLES,Karnataka,Private,IPP,Solar,400.00,2.68,10.94
YARROW,Karnataka,Private,IPP,Solar,50.00,0.39,1.61
