Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,30-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.19,4.08
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.37
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.47,44.60
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.98,57.81
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.99,95.53
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.64,54.44
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.63,14.10
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,1.48
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.99
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.62,55.83
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.44,40.17
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.89,56.02
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.26,37.83
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.78,25.95
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.73,24.38
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.02,29.77
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.29,36.88
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.48,16.43
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.60,76.23
