Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,07-March-25,"Cumulative Generation
during Mar 2025"
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.75,5.39
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.40,16.42
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.74,5.13
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,5.82,38.52
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,1.14,24.74
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.97,20.36
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.35,5.87
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.76,18.53
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.20,4.43
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.80,19.04
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.16,3.88
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.34,23.17
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.29,6.09
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.54,10.37
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.88,6.04
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.44,3.04
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.87,6.01
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,2.69,17.91
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.98,6.99
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.44,16.92
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.35,16.77
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.41,2.82
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.60,10.71
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.24,16.47
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.41,16.61
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,3.28,21.89
AMP ENERGY GREEN FOUR PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.69,4.16
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,4.14,26.41
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,5.47,36.46
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.14,0.81
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,1.63,10.70
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.53,10.28
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,9.50,63.65
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.93,12.55
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.87,12.20
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.66,11.43
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.77,18.88
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.29,15.84
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.16,1.04
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.80,5.57
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.59,4.10
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.54,3.70
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.38,2.28
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.84,12.11
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.30,15.42
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,1.37,7.23
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.36,2.26
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.12
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.80,5.52
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.43,16.68
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,1.35,14.40
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,1.44,15.64
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.86,10.01
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.76,23.54
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.41,5.43
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,0.37,13.14
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,-0.11,2.98
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,1.20,13.07
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,1.34,12.18
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,15.26
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.61,8.54
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.18,1.30
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.19,2.30
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,1.09,14.80
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.18,2.39
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,1.46,17.02
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,0.59,10.70
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,1.90,16.46
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.49,5.76
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,0.52,6.50
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,1.58,10.49
TPSOURY BRVD NMCH,Madhya Pradesh,Private,IPP,Solar,160.00,1.42,9.59
ARE41L PSS3 KPSI,Gujarat,Private,IPP,Wind,249.60,0.83,12.54
ACL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,200.00,1.88,12.66
BEETAM(TUTICORIN),Tamil Nadu,Private,IPP,Wind,220.00,0.32,4.47
GREEN INFRA,Tamil Nadu,Private,IPP,Wind,250.00,0.38,4.65
HIRITUR OSTRO,Tamil Nadu,Private,IPP,Wind,300.00,0.00,1.28
JSW RENEW ENERGY TWO LTD,Tamil Nadu,Private,IPP,Wind,130.00,0.51,6.16
KARUR_JSWRETWO_W,Tamil Nadu,Private,IPP,Wind,51.00,0.14,3.39
KOPPAL_AYANASIX_W,Karnataka,Private,IPP,Wind,50.00,0.20,1.45
KOPPAL_RENEWROSHNI_W,Karnataka,Private,IPP,Wind,73.00,0.54,7.30
MYTRA,Tamil Nadu,Private,IPP,Wind,250.00,0.24,3.30
ORANGE,Tamil Nadu,Private,IPP,Wind,200.00,0.28,3.19
PGLR_SREPL,Tamil Nadu,Private,IPP,Wind,300.00,0.23,3.37
TUTICORINJSWRENEWW,Tamil Nadu,Private,IPP,Wind,51.00,0.26,4.38
GRT,Tamil Nadu,Private,IPP,Solar,150.00,1.00,6.32
NTPC ETTAYAPURAM SOLAR PLANT,Tamil Nadu,Central,NTPC,Solar,230.00,1.66,10.46
RAMANGUNDAM SOLAR,Telangana,Central,NTPC,Solar,100.00,0.68,4.51
SIMHADRI SOLAR,Andhra Pradesh,Central,NTPC,Solar,25.00,0.00,0.00
KOPPAL RENEWOJAS Wind,Tamil Nadu,Private,IPP,Wind,277.00,1.70,11.47
KOPPAL SRI1PL,Karnataka,Private,IPP,Solar,120.00,1.59,9.39
IRCON SOLAR,Karnataka,Private,IPP,Solar,50.00,-1.28,-3.74
GADAG_VENA_W,Karnataka,Private,IPP,Wind,133.00,0.34,3.31
GADAG_VENA_S,Karnataka,Private,IPP,Solar,31.00,-0.03,-0.31
KURNOOL_AMGREEN_W,Andhra Pradesh,Private,IPP,Wind,53.00,0.72,5.55
KOPPAL_RENEWOJAS_S,Karnataka,Private,IPP,Solar,81.00,0.60,3.33
GADAG_RSPPL_W,Tamil Nadu,Private,IPP,Wind,66.00,0.32,3.45
GADAG_GREENINFRA_W,Tamil Nadu,Private,IPP,Wind,55.00,0.16,1.35
ADANIAPSEVEN,Andhra Pradesh,Private,IPP,Solar,250.00,1.97,12.72
ACME (BIWADI),Andhra Pradesh,Private,IPP,Solar,50.00,0.38,2.46
ACME (HISAR),Andhra Pradesh,Private,IPP,Solar,50.00,0.38,2.13
ACME (KARNAL),Andhra Pradesh,Private,IPP,Solar,50.00,0.37,2.08
AYANA,Andhra Pradesh,Private,IPP,Solar,250.00,2.01,13.13
AZURE,Andhra Pradesh,Private,IPP,Solar,50.00,0.30,1.94
IGS 1,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,2.08
IGS 2,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,2.42
NTPC,Andhra Pradesh,Central,NTPC,Solar,250.00,1.26,8.20
TATA POWER,Andhra Pradesh,Private,IPP,Solar,100.00,0.63,3.60
SPRING ANGITRA,Andhra Pradesh,Private,IPP,Solar,250.00,1.83,9.85
All ADYAH,Karnataka,Private,IPP,Solar,300.00,2.41,15.75
AMPLUS PAVAGADA,Karnataka,Private,IPP,Solar,50.00,0.41,2.67
AMPLUS TUMKUR,Karnataka,Private,IPP,Solar,50.00,0.41,2.69
AVAADA SOLAR,Karnataka,Private,IPP,Solar,150.00,1.18,7.66
AVAADA SOLARISE,Karnataka,Private,IPP,Solar,150.00,1.17,7.63
AZURE POWER EARTH,Karnataka,Private,IPP,Solar,100.00,0.79,5.25
FORTUM FIN SURYA,Karnataka,Private,IPP,Solar,100.00,0.72,4.77
FORTUM SOLAR,Karnataka,Private,IPP,Solar,250.00,0.38,2.47
KREDL,Karnataka,Private,IPP,Solar,50.00,0.81,5.32
PARAMPUJYA,Karnataka,Private,IPP,Solar,150.00,0.41,2.62
RENEW TN2,Karnataka,Private,IPP,Solar,50.00,1.56,10.21
SBG ENERGY,Karnataka,Private,IPP,Solar,200.00,1.98,12.92
TATA RENEWABLES,Karnataka,Private,IPP,Solar,400.00,2.84,18.59
YARROW,Karnataka,Private,IPP,Solar,50.00,0.40,2.63
