Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,27-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.19,5.27
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.49
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,0.84,43.59
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.21,51.81
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,1.35,91.90
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,0.77,52.58
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.58,17.08
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,1.72
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.01,1.11
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.01,54.50
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,0.86,41.32
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,0.91,53.68
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,0.64,35.30
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.34,26.43
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.33,24.88
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.61,28.22
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,0.68,36.30
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.26,18.04
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,1.40,69.70
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.30,17.79
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.23,16.32
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,0.55,47.59
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,0.80,57.54
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,0.85,58.65
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,0.70,49.98
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,0.74,51.40
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.72,50.94
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,1.31,101.63
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.50,30.31
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.99,43.50
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.43,22.19
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,0.55,46.24
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,0.95,54.51
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,0.91,44.75
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.22,56.12
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.23,16.25
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.15,8.60
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.16,8.87
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.02,52.01
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.23,15.75
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,0.87,44.63
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,0.72,41.38
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.17,53.15
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.57,18.05
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,0.57,39.12
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.16,53.14
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.14,53.04
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.11,53.28
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.05,53.32
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,0.73,36.74
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.71,46.98
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,1.38,69.95
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.35,17.36
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,0.57,33.35
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.63,33.26
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.07,53.96
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,0.51,33.32
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.29,52.91
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.25,15.88
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,0.75,51.23
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.20,14.14
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,2.53,124.34
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,2.29,69.00
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,1.58,69.76
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.56,14.61
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.25,58.65
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.48,11.81
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.23,61.30
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.41,10.65
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,1.54,79.39
