Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,19-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.21,3.78
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.34
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.15,32.33
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.32,36.62
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.61,66.05
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.38,37.98
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.61,11.88
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,1.21
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.81
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.55,39.25
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.00,29.29
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.54,38.66
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,0.94,25.50
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.71,18.65
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.68,17.78
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.78,20.21
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.08,26.20
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.46,12.62
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.28,50.58
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.52,12.62
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.39,11.57
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,9.62,36.52
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,1.43,41.22
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,1.53,42.41
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.22,35.77
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.32,37.04
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.27,36.24
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,2.58,73.28
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.86,21.91
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.22,30.24
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.58,15.81
