Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,13-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.12,1.13
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.12
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,0.86,17.88
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,1.09,23.20
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,2.22,39.07
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.11,22.74
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.49,5.44
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.01,0.60
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.09,0.44
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.20,23.22
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,0.76,14.98
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.06,22.96
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,0.69,15.38
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.44,10.01
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.43,9.38
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.57,11.88
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,0.66,14.53
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.21,6.44
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.33,31.79
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.34,7.04
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.19,5.74
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,0.48,15.05
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,0.71,21.90
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,1.25,25.32
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,0.61,19.10
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.14,20.46
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.74,19.11
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,1.84,31.29
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.43,12.68
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.84,16.85
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.44,9.50
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,0.59,17.94
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,0.84,24.07
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,0.75,18.95
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.23,24.54
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.18,5.68
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.16,3.63
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.17,3.80
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,0.90,23.09
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.18,5.57
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,0.84,19.21
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,0.71,17.24
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.30,23.25
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.12,3.76
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,0.61,15.55
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.31,22.02
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.27,22.70
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.15,22.76
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.79,25.45
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.20,15.37
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,0.60,17.25
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.29,29.67
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.59,7.77
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,0.57,14.26
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,0.55,14.65
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.13,22.58
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,0.43,12.80
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,0.94,21.72
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.21,6.21
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,0.63,19.47
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.16,4.84
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,1.47,48.74
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,3.93,29.38
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,1.44,30.14
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.62,6.13
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.06,23.28
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.41,4.72
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.33,24.50
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.48,4.60
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,2.42,35.87
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.97,6.45
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,0.36,11.27
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.17,5.42
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.09,2.78
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.32,6.63
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,0.96,19.40
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.20,6.71
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.02,23.04
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.04,22.76
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.10,2.89
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,0.37,10.40
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.50,23.20
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,0.96,21.32
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,0.72,12.95
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,1.83,22.73
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,0.50,5.65
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.00,0.00
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,0.55,6.84
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,0.93,10.85
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,6.92,84.63
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,0.90,16.22
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,0.89,15.83
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,0.98,15.45
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,1.30,23.55
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.28,16.75
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,1.65
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.27,6.73
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.49,5.83
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.32,4.45
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.27,3.62
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,0.80,14.87
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,0.95,22.60
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.68,8.28
