Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,02-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.19,0.38
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.02
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.67,3.04
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,0.00,1.69
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.63,6.64
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.12,3.81
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.61,1.23
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.05,0.10
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.08
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.16,3.90
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.64,2.98
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.17,3.87
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.46,2.58
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.05,1.87
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,1.00,1.77
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.08,1.97
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.46,2.58
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.70,1.21
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.72,5.12
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.70,1.23
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.65,1.13
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.60,2.79
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.36,4.13
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.37,4.24
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.06,3.59
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.11,3.78
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.08,3.67
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,4.10,7.34
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.29,2.25
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.64,2.91
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.92,1.65
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.90,3.37
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.16,3.96
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.81,3.26
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.22,4.10
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.64,1.12
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.35,0.62
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.36,0.64
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.12,3.81
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.63,1.09
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.79,3.22
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.68,2.98
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.13,3.91
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.37,0.65
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.66,2.91
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.11,3.88
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.11,3.88
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.14,3.90
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.08,3.91
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.42,2.67
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.91,3.34
