Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,03-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.20,0.58
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.04
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.57,4.61
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.01,3.70
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.34,9.98
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.84,5.65
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.55,1.78
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.05,0.15
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.12
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,1.91,5.81
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.46,4.44
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.84,5.71
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.24,3.82
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.93,2.80
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.88,2.65
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,0.97,2.94
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.34,3.92
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.58,1.79
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.66,7.78
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.58,1.81
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.53,1.66
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.35,4.14
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.01,6.14
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.05,6.29
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.74,5.33
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.88,5.66
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.78,5.45
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.73,11.07
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.09,3.34
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.41,4.32
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.80,2.45
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.15,4.52
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.22,6.18
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.62,4.88
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.09,6.19
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.53,1.65
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.30,0.92
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.31,0.95
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.89,5.70
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.51,1.60
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.57,4.79
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.41,4.39
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.98,5.89
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.33,0.98
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.44,4.35
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.95,5.83
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.97,5.85
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.00,5.90
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.01,5.92
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.38,4.05
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.62,4.96
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.66,7.80
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.66,1.94
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.18,3.59
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.26,3.71
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.88,5.81
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.17,3.58
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.93,5.76
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.56,1.71
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.80,5.48
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.46,1.41
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.49,13.23
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,4.77,15.60
