Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,11-March-25,"Cumulative Generation
during Mar 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.22,2.55
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.22
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.69,18.98
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.05,24.87
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.52,45.00
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,1.96,25.08
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.65,7.55
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.07,0.72
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.05,0.50
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.03,24.92
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.48,18.85
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.08,25.73
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.19,16.12
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.96,13.59
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.94,12.37
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.18,13.34
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.55,18.30
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.80,10.42
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.92,32.05
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.80,9.39
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.66,8.87
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.55,19.64
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.28,28.83
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.10,28.12
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,2.00,25.22
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.02,25.46
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.93,25.85
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.89,49.60
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.06,14.33
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.06,21.99
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.81,10.54
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.90,23.38
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,1.82,25.51
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.58,20.81
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.17,25.49
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.65,8.87
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.30,4.11
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.31,4.23
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.81,24.02
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.63,8.54
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.70,20.88
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.51,20.05
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.02,24.34
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,1.61,8.43
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.61,20.14
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.04,24.53
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.11,24.52
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.15,24.88
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.28,25.10
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.54,16.80
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.53,21.68
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.84,32.66
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.74,8.15
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.14,16.16
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.31,16.20
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,1.40,24.49
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.37,17.05
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.79,24.21
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.65,8.13
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.06,25.32
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.32,7.59
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.92,60.20
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,1.81,28.42
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.66,31.73
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.33,6.70
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.48,28.93
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.29,5.21
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.50,29.56
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.34,4.62
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.12,35.81
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.39,7.70
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.16,16.00
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.66,9.21
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.33,4.63
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.75,9.10
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,2.31,29.70
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.66,10.55
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.18,26.16
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.19,25.79
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.38,4.39
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.18,16.55
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.19,24.82
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.17,25.01
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,2.95,35.20
AMP ENERGY GREEN FOUR PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.60,7.15
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,4.22,42.72
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,5.37,57.38
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.12,1.27
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,1.58,16.90
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,0.00,14.63
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,9.33,100.13
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,2.18,20.47
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,2.10,19.76
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.59,17.90
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.67,29.69
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,2.44,24.40
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.13,1.62
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.81,8.76
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.57,6.43
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.53,5.78
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.31,3.67
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,2.17,19.75
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.04,24.06
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,1.07,10.07
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.33,3.52
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.06,0.18
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.81,8.70
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.73,22.09
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,0.82,17.28
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,2.05,21.13
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.74,12.27
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,1.24,27.54
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.81,8.67
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,0.35,19.86
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,0.20,3.01
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,0.83,16.17
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,0.94,15.66
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,23.98
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.75,10.40
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.06,1.58
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.17,2.90
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,0.90,18.15
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.30,3.21
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,1.55,21.83
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,0.47,12.71
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,0.91,20.05
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.22,6.70
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,0.71,8.53
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,2.50,17.40
TPSOURY BRVD NMCH,Madhya Pradesh,Private,IPP,Solar,160.00,1.35,14.93
ARE41L PSS3 KPSI,Gujarat,Private,IPP,Wind,249.60,0.43,14.01
ACL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,200.00,1.87,19.97
BEETAM(TUTICORIN),Tamil Nadu,Private,IPP,Wind,220.00,1.55,9.48
GREEN INFRA,Tamil Nadu,Private,IPP,Wind,250.00,1.82,10.67
HIRITUR OSTRO,Tamil Nadu,Private,IPP,Wind,300.00,0.00,1.28
JSW RENEW ENERGY TWO LTD,Tamil Nadu,Private,IPP,Wind,130.00,2.13,13.98
KARUR_JSWRETWO_W,Tamil Nadu,Private,IPP,Wind,51.00,0.47,5.75
KOPPAL_AYANASIX_W,Karnataka,Private,IPP,Wind,50.00,4.22,7.53
KOPPAL_RENEWROSHNI_W,Karnataka,Private,IPP,Wind,73.00,3.77,14.93
MYTRA,Tamil Nadu,Private,IPP,Wind,250.00,1.18,5.55
ORANGE,Tamil Nadu,Private,IPP,Wind,200.00,1.13,6.63
PGLR_SREPL,Tamil Nadu,Private,IPP,Wind,300.00,0.39,5.96
TUTICORINJSWRENEWW,Tamil Nadu,Private,IPP,Wind,51.00,1.78,9.39
GRT,Tamil Nadu,Private,IPP,Solar,150.00,0.16,9.52
NTPC ETTAYAPURAM SOLAR PLANT,Tamil Nadu,Central,NTPC,Solar,230.00,0.23,15.67
RAMANGUNDAM SOLAR,Telangana,Central,NTPC,Solar,100.00,0.58,6.91
SIMHADRI SOLAR,Andhra Pradesh,Central,NTPC,Solar,25.00,0.00,0.00
KOPPAL RENEWOJAS Wind,Tamil Nadu,Private,IPP,Wind,277.00,3.62,20.51
KOPPAL SRI1PL,Karnataka,Private,IPP,Solar,120.00,1.24,14.85
IRCON SOLAR,Karnataka,Private,IPP,Solar,50.00,-1.33,-8.80
GADAG_VENA_W,Karnataka,Private,IPP,Wind,133.00,1.21,6.72
GADAG_VENA_S,Karnataka,Private,IPP,Solar,31.00,-0.15,-0.91
KURNOOL_AMGREEN_W,Andhra Pradesh,Private,IPP,Wind,53.00,2.19,12.19
KOPPAL_RENEWOJAS_S,Karnataka,Private,IPP,Solar,81.00,0.56,5.53
GADAG_RSPPL_W,Tamil Nadu,Private,IPP,Wind,66.00,1.53,6.85
GADAG_GREENINFRA_W,Tamil Nadu,Private,IPP,Wind,55.00,0.57,2.84
ADANIAPSEVEN,Andhra Pradesh,Private,IPP,Solar,250.00,1.95,20.36
ACME (BIWADI),Andhra Pradesh,Private,IPP,Solar,50.00,0.38,4.75
ACME (HISAR),Andhra Pradesh,Private,IPP,Solar,50.00,0.38,3.62
ACME (KARNAL),Andhra Pradesh,Private,IPP,Solar,50.00,0.37,3.53
AYANA,Andhra Pradesh,Private,IPP,Solar,250.00,2.01,20.98
AZURE,Andhra Pradesh,Private,IPP,Solar,50.00,0.30,3.10
IGS 1,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,3.51
IGS 2,Andhra Pradesh,Private,IPP,Solar,50.00,0.37,3.86
NTPC,Andhra Pradesh,Central,NTPC,Solar,250.00,1.26,13.07
TATA POWER,Andhra Pradesh,Private,IPP,Solar,100.00,0.65,6.06
SPRING ANGITRA,Andhra Pradesh,Private,IPP,Solar,250.00,1.84,17.04
All ADYAH,Karnataka,Private,IPP,Solar,300.00,2.40,24.48
AMPLUS PAVAGADA,Karnataka,Private,IPP,Solar,50.00,0.41,4.26
AMPLUS TUMKUR,Karnataka,Private,IPP,Solar,50.00,0.41,4.28
AVAADA SOLAR,Karnataka,Private,IPP,Solar,150.00,1.07,12.09
AVAADA SOLARISE,Karnataka,Private,IPP,Solar,150.00,1.18,12.15
AZURE POWER EARTH,Karnataka,Private,IPP,Solar,100.00,0.81,8.38
FORTUM FIN SURYA,Karnataka,Private,IPP,Solar,100.00,0.73,7.54
FORTUM SOLAR,Karnataka,Private,IPP,Solar,250.00,0.38,3.92
KREDL,Karnataka,Private,IPP,Solar,50.00,0.81,8.44
PARAMPUJYA,Karnataka,Private,IPP,Solar,150.00,0.42,4.21
