Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,08-January-25,"Cumulative Generation
during Jan 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.10,0.47
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.01,0.06
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.54,11.63
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.05,15.20
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.50,24.99
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.06,14.76
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.53,3.22
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,0.39
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.02,0.16
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.11,14.72
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.41,9.40
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.07,14.77
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.41,9.92
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,1.03,6.63
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.96,6.19
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.07,7.78
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.32,9.57
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.64,4.25
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.65,19.81
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.64,4.51
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.62,3.79
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.55,10.08
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.28,14.51
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.31,16.36
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.99,12.70
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,1.99,12.59
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.97,12.36
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,2.80,21.39
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.15,8.31
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.53,10.79
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.86,6.08
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.80,11.84
CLEAN SOLAR POWER (BHADLA) PVT LDT,Rajasthan,Private,IPP,Solar,300.00,2.17,15.76
CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.67,12.34
EDEN RENEWABLE CITE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.13,15.93
GRIAN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.61,3.74
ADANI RENEWABLE ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.33,2.34
M/S ADANI SOLAR ENERGY JODHPUR TWO LTD,Rajasthan,Private,IPP,Solar,50.00,0.34,2.46
AZURE POWER FORTY ONE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.07,15.18
M/S. ONEVOLT ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.59,3.69
MEGA SOILS RENEWABLE PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,250.00,1.74,12.44
MEGA SURYAURJA PVT LTD,Rajasthan,Private,IPP,Solar,250.00,1.56,11.22
RENEW SOLAR ENERGY (JHARKHAND THREE) PVT LTD,Rajasthan,Private,IPP,Solar,300.00,2.01,14.98
RENEW SOLAR POWER PVT LTD,Rajasthan,Private,IPP,Solar,50.00,0.34,2.48
RENEW SOLAR POWER PVT LTD. BIKANER,Rajasthan,Private,IPP,Solar,250.00,1.55,10.42
RENEW SOLAR URJA PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.98,14.76
RENEW SUN BRIGHT PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.99,14.57
RENEW SUN WAVES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.99,14.76
RENEW SURYA AAYAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,3.59,16.47
RENEW SURYA PRATAP PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,200.00,1.29,9.57
RENEW SURYA RAVI PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.78,11.44
RENEW SURYA ROSHNI PVT LTD,Rajasthan,Private,IPP,Solar,400.00,2.46,18.22
RENEW SURYA VIHAAN PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.64,4.80
RISING SUN ENERGY (K) PVT LTD,Rajasthan,Private,IPP,Solar,164.00,1.29,9.27
SB ENERGY FOUR PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.35,9.61
SB ENERGY SIX PRIVATE LTD.,Rajasthan,Private,IPP,Solar,300.00,2.00,14.74
TATA POWER GREEN ENERGY LIMITED,Rajasthan,Private,IPP,Solar,225.00,1.29,8.53
TATA POWER RENEWABLE ENERGY LTD,Rajasthan,Private,IPP,Solar,300.00,1.94,14.28
TATA POWER SAURYA LIMITED,Rajasthan,Private,IPP,Solar,110.00,0.61,4.13
THAR SURYA 1 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.02,12.92
TRANSITION RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,150.00,0.50,3.28
ADANI HYBRID ENERGY JAISALMER FOUR LTD SOLAR,Rajasthan,Private,IPP,Solar,600.00,4.51,32.51
ADANI HYBRID ENERGY JAISALMER FOUR LTD WIND,Rajasthan,Private,IPP,Wind,510.00,0.00,14.48
ADANI HYBRID ENERGY JAISALMER ONE LIMITED SOLAR,Rajasthan,Private,IPP,Solar,360.00,2.65,19.74
ADANI HYBRID ENERGY JAISALMER ONE LIMITED WIND,Rajasthan,Private,IPP,Wind,101.00,0.00,3.15
ADANI HYBRID ENERGY JAISALMER THREE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.10,15.36
ADANI HYBRID ENERGY JAISALMER THREE LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.00,2.44
ADANI HYBRID ENERGY JAISALMER TWO LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.16,15.86
ADANI HYBRID ENERGY JAISALMER TWO LIMITED WIND,Rajasthan,Private,IPP,Wind,75.00,0.00,2.36
ADANI JAISALMER ONE SEPL SOLAR,Rajasthan,Private,IPP,Solar,422.00,3.02,22.56
ADANI JAISALMER ONE SEPL WIND,Rajasthan,Private,IPP,Wind,105.00,0.00,3.31
SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED_BKN2,Rajasthan,Private,IPP,Solar,125.00,1.20,7.47
TRANSITION GREEN ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.53,3.61
TRANSITION SUSTAINABLE ENERGY SERVICES PVT LTD,Rajasthan,Private,IPP,Solar,100.00,0.28,1.86
AMP Green Energy Five Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.62,4.23
Adani Green Energy Twenty Five Ltd,Rajasthan,Private,IPP,Solar,250.00,1.78,12.44
Juniper Green Cosmic Pvt Ltd,Rajasthan,Private,IPP,Solar,100.00,0.69,4.46
ACME DEOGHAR SOLAR POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.99,15.05
ACME PHALODI SOLAR ENERGY PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,1.98,14.84
TRANSITION SUSTAINABLE ENERGY SERVICES ONE PVT LTD,Rajasthan,Private,IPP,Solar,45.00,0.26,1.92
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.13,6.63
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.99,14.39
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,1.86,13.38
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,1.45,8.48
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,1.94,14.37
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,0.46,3.45
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.00,0.00
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,0.59,4.41
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,0.93,6.77
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,7.32,53.58
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.38,10.23
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.36,10.00
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.46,9.52
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.37,14.81
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,1.41,10.62
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,1.05
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.30,4.80
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.50,3.60
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.37,2.79
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.31,2.29
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.25,9.39
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.09,14.99
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.71,5.20
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.29,2.42
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.00,0.05
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.63,5.31
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,0.92,14.21
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,1.20,13.05
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,3.23,16.85
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.87,9.90
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,2.55,23.09
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.98,5.87
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,1.24,8.83
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,0.27,2.51
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,1.28,11.45
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,1.92,12.93
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,17.44
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.91,11.07
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.07,0.75
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.32,2.26
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,1.86,13.66
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.43,2.80
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,1.24,11.29
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,1.72,11.13
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,1.43,15.40
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.53,5.25
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,1.46,7.98
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,1.09,7.83
TPSOURY BRVD NMCH,Madhya Pradesh,Private,IPP,Solar,160.00,1.06,7.63
ARE41L PSS3 KPSI,Gujarat,Private,IPP,Wind,249.60,0.63,11.41
ACL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,200.00,0.74,6.84
BEETAM(TUTICORIN),Tamil Nadu,Private,IPP,Wind,220.00,0.87,11.68
